company_url;company_name;company_short_description;company_habs_name;company_raiting;company_blog_posts;company_news;company_vacancies;company_subscribers;company_employees;company_foundation_date;company_location;company_city;company_country;company_site_name;company_site_url;company_size;company_registration_date;company_represenative_nickname;company_represenative_profile_url
https://habr.com/ru/company/ruvds/;RUVDS.com;VDS/VPS-хостинг. Скидка 10% по коду HABR;Разработка веб-сайтов, Системное администрирование, JavaScript, Программирование, Лайфхаки для гиков;2319.8;1332;3;;23988;24;27 июля 2015 г.;Москва, Россия;Москва;Россия;ruvds.com;https://ruvds.com;11–30 человек;18.03.2016;ruvds;https://habr.com/ru/users/ruvds/
https://habr.com/ru/company/vdsina/;VDSina.ru;Серверы в Москве и Амстердаме;Информационная безопасность, Разработка веб-сайтов, Системное администрирование, Программирование, Серверное администрирование;1330.24;196;1;1;291;12;22 мая 2014 г.;Москва, Россия;Москва;Россия;vdsina.ru;https://vdsina.ru/;11–30 человек;24.09.2019;Mikhail;https://habr.com/ru/users/vdsina_m/
https://habr.com/ru/company/selectel/;Selectel;ИТ-инфраструктура для бизнеса;IT-инфраструктура, Гаджеты, Компьютерное железо, Софт, Будущее здесь;1317.02;422;8;;18232;61;11 сентября 2007 г.;Санкт-Петербург, Россия;Санкт-Петербург;Россия;selectel.ru;https://selectel.ru/;201–500 человек;15.03.2010;;
https://habr.com/ru/company/jugru/;JUG Ru Group;Конференции для программистов и сочувствующих. 18+;Тестирование IT-систем, Программирование, Java, Тестирование веб-сервисов, Конференции;584.54;929;10;;3034;46;25 февраля 2012 г.;Санкт-Петербург, Россия;Санкт-Петербург;Россия;jugru.org;https://jugru.org;51–100 человек;22.08.2013;;
https://habr.com/ru/company/skillfactory/;SkillFactory;Школа Computer Science. Скидка 10% по коду HABR;Python, Программирование, Машинное обучение, Учебный процесс в IT, Научно-популярное;579.17;163;;;260;6;1 ноября 2012 г.;Москва, Россия;Москва;Россия;skillfactory.ru;http://www.skillfactory.ru/;201–500 человек;14.12.2012;Skillfactory School;https://habr.com/ru/users/skillfactory_school/
https://habr.com/ru/company/mailru/;Mail.ru Group;Строим Интернет;Программирование, Администрирование баз данных, Учебный процесс в IT, DevOps, Kubernetes;530.62;2057;78;15;82930;570;15 октября 1998 г.;Москва, Россия;Москва;Россия;team.mail.ru;https://team.mail.ru/;5 001–10 000 человек;09.08.2008;Павел Круглов;https://habr.com/ru/users/pkruglov/
https://habr.com/ru/company/tuturu/;Туту.ру;Tutu.ru — сервис путешествий №1 в России.;Управление проектами, Биотехнологии, Здоровье, Транспорт, Урбанизм;467.87;154;;;44636;72;5 сентября 2003 г.;;;;tutu.ru;https://www.tutu.ru/;201–500 человек;24.01.2017;;
https://habr.com/ru/company/southbridge/;Southbridge;Обеспечиваем стабильную работу highload-проектов;Системное администрирование, Серверное администрирование, Управление проектами, DevOps, Kubernetes;439.47;507;2;2;21347;25;22 февраля 2008 г.;Москва, Россия;Москва;Россия;southbridge.io;https://southbridge.io;31–50 человек;15.11.2012;Антон Скобин;https://habr.com/ru/users/aSkobin/
https://habr.com/ru/company/otus/;OTUS. Онлайн-образование;Цифровые навыки от ведущих экспертов;Информационная безопасность, Программирование, Java, Big Data, Машинное обучение;422.33;845;;;42526;33;1 апреля 2017 г.;Москва, Россия;Москва;Россия;otus.ru;https://otus.ru;31–50 человек;22.03.2017;;
https://habr.com/ru/company/domclick/;ДомКлик;Место силы;Разработка веб-сайтов, Python, JavaScript, Программирование, Node.JS;410.25;55;;;286;69;19 июля 2015 г.;Россия;;Россия;domclick.ru;https://domclick.ru/;501–1 000 человек;17.03.2020;Лера Лисичкина;https://habr.com/ru/users/Lisichkina/
https://habr.com/ru/company/flant/;Флант;DevOps-as-a-Service, Kubernetes, обслуживание 24×7;Open source, Системное администрирование, Администрирование баз данных, DevOps, Kubernetes;363.94;334;19;1;18213;44;13 мая 2008 г.;Москва, Россия;Москва;Россия;flant.ru;https://flant.ru/;51–100 человек;25.01.2017;Дмитрий Шурупов;https://habr.com/ru/users/shurup/
https://habr.com/ru/company/avito/;Авито;У нас живут ваши объявления;Разработка мобильных приложений, Разработка под Android, Go, Машинное обучение, Конференции;358.38;226;;22;48313;144;2007 год;Москва, Россия;Москва;Россия;avito.tech;http://avito.tech;1 001–5 000 человек;27.05.2016;;
https://habr.com/ru/company/pvs-studio/;PVS-Studio;Статический анализ кода для C, C++, C# и Java;Open source, Программирование, C++, C, C#;340.13;561;;;14491;37;2008 год;Тула, Россия;Тула;Россия;viva64.com;https://www.viva64.com/;31–50 человек;06.05.2013;;
https://habr.com/ru/company/oleg-bunin/;Конференции Олега Бунина (Онтико);Конференции Олега Бунина;Разработка веб-сайтов, Программирование, Управление разработкой, Управление проектами, Конференции;335.88;556;5;;32404;43;1 января 2008 г.;Россия;;Россия;ontico.ru;http://www.ontico.ru/;11–30 человек;24.02.2010;;
https://habr.com/ru/company/lanit/;ГК ЛАНИТ;Ведущая многопрофильная группа ИТ-компаний в РФ;Машинное обучение, Управление проектами, Учебный процесс в IT, Управление персоналом, Конференции;311.34;209;16;38;21499;124;16 октября 1989 г.;Россия;;Россия;lanit.ru;http://lanit.ru/;свыше 10 000 человек;17.01.2017;Ася;https://habr.com/ru/users/Sabrina_U/
https://habr.com/ru/company/englishdom/;Онлайн школа EnglishDom;Лидер в онлайн образовании;Локализация продуктов, Читальный зал, Искусственный интеллект, Изучение языков, Будущее здесь;300.88;135;;;562;7;2010 год;;;;englishdom.com;https://www.englishdom.com;1 001–5 000 человек;01.03.2017;;
https://habr.com/ru/company/tinkoff/;Tinkoff;it’s Tinkoff — просто о сложном;Разработка веб-сайтов, Open source, JavaScript, Angular, TypeScript;296.08;221;1;57;25871;173;18 ноября 2005 г.;Россия;;Россия;tinkoff.ru;http://www.tinkoff.ru;5 001–10 000 человек;26.10.2011;;
https://habr.com/ru/company/yandex/;Яндекс;Как мы делаем Яндекс;Разработка веб-сайтов, Алгоритмы, Интерфейсы, Машинное обучение, Компьютерное железо;275.85;1682;16;12;81910;701;23 сентября 1997 г.;Москва, Россия;Москва;Россия;yandex.ru;http://www.yandex.ru/;свыше 10 000 человек;09.08.2008;;
https://habr.com/ru/company/habr_career/;Хабр Карьера;Сервис развития карьеры в IT;Блог компании Хабр, Исследования и прогнозы в IT, Управление персоналом, Карьера в IT-индустрии, Удалённая работа;265.89;201;25;1;1781;12;;Москва, Россия;Москва;Россия;career.habr.com;https://career.habr.com;2–10 человек;12.11.2015;Mary Litvinenko;https://habr.com/ru/users/litvinenkomary/
https://habr.com/ru/company/sberbank/;Сбер;Больше чем банк;Big Data, Машинное обучение, Управление проектами, Искусственный интеллект, Natural Language Processing;261.61;186;1;34;20204;135;12 ноября 1841 г.;Москва, Россия;Москва;Россия;sber.ru;http://www.sber.ru/;свыше 10 000 человек;08.02.2011;;
https://habr.com/ru/company/habr/;Хабр;Создаем и развиваем сервисы для гиков;Habr, Блог компании Хабр Карьера, Контент-маркетинг, Карьера в IT-индустрии, Конференции;256.58;247;6;1;22641;25;2008 год;Москва, Россия;Москва;Россия;habr.com;http://habr.com/;31–50 человек;09.08.2008;Алексей;https://habr.com/ru/users/Boomburum/
https://habr.com/ru/company/JetBrains-education/;Образовательные проекты JetBrains;Компания;Программирование, Алгоритмы, Математика, Машинное обучение, Учебный процесс в IT;250.05;138;;;1240;18;1 февраля 2000 г.;Санкт-Петербург, Россия;Санкт-Петербург;Россия;jetbrains.com;https://www.jetbrains.com/;501–1 000 человек;25.02.2014;;
https://habr.com/ru/company/leader-id/;Leader-ID;Компания;Учебный процесс в IT, Управление персоналом, Конференции, Научно-популярное, Искусственный интеллект;248.25;44;;;130;18;14 января 2019 г.;Москва, Россия;Москва;Россия;leader-id.ru;https://leader-id.ru/;51–100 человек;28.10.2019;;
https://habr.com/ru/company/jetinfosystems/;Инфосистемы Джет;Системный интегратор;Информационная безопасность, Анализ и проектирование систем, IT-инфраструктура, Алгоритмы, Машинное обучение;244.5;248;;16;28354;27;1991 год;Москва, Россия;Москва;Россия;jet.su;https://jet.su;1 001–5 000 человек;02.04.2014;;
https://habr.com/ru/company/croc/;КРОК;IT-компания;Системное администрирование, IT-инфраструктура, Сетевые технологии, Управление проектами, Удалённая работа;239.74;384;;;4473;194;1 января 1992 г.;Москва, Россия;Москва;Россия;croc.ru;https://croc.ru/;1 001–5 000 человек;24.08.2010;;
https://habr.com/ru/company/ua-hosting/;ua-hosting.company;Хостинг-провайдер: серверы в NL до 300 Гбит/с;IT-инфраструктура, Конференции, Научно-популярное, Биотехнологии, Физика;236.26;1341;;;17779;18;10 июля 2009 г.;Вентспилс, Латвия;Вентспилс;Латвия;ua-hosting.company;http://ua-hosting.company;11–30 человек;02.10.2012;HostingManager;https://habr.com/ru/users/HostingManager/
https://habr.com/ru/company/pixonic/;Pixonic;Разрабатываем и издаем игры с 2009 года;Разработка мобильных приложений, Разработка игр, Unity, Дизайн игр, Игры и игровые приставки;231.97;109;;;13697;20;13 июня 2009 г.;Москва, Россия;Москва;Россия;pixonic.com;https://pixonic.com;201–500 человек;28.03.2017;;
https://habr.com/ru/company/lamptest/;LampTest;Тестирование светодиодных ламп;Разработка веб-сайтов, Производство и разработка электроники, Гаджеты, Энергия и элементы питания, Умный дом;229.6;146;;;24768;1;24 июня 2015 г.;Москва, Россия;Москва;Россия;lamptest.ru;http://lamptest.ru;1 человек (только я);24.06.2015;Алексей Надежин;https://habr.com/ru/users/AlexeyNadezhin/
https://habr.com/ru/company/solarsecurity/;Ростелеком-Солар;Безопасность по имени Солнце;Информационная безопасность, Совершенный код, SCADA, Управление продуктом, Софт;226.67;173;6;;19304;28;апрель 2015 года;Москва, Россия;Москва;Россия;rt-solar.ru;http://rt-solar.ru/;201–500 человек;22.08.2016;;
https://habr.com/ru/company/postgrespro/;Postgres Professional;Разработчик СУБД Postgres Pro;Ненормальное программирование, PostgreSQL, SQL, Конференции;221.22;124;;;27026;21;27 января 2015 г.;Москва, Россия;Москва;Россия;postgrespro.ru;http://www.postgrespro.ru/;51–100 человек;30.09.2015;Иван Панченко;https://habr.com/ru/users/x-wao/
https://habr.com/ru/company/kaspersky/;«Лаборатория Касперского»;Ловим вирусы, исследуем угрозы, спасаем мир;Информационная безопасность, Разработка мобильных приложений, Разработка под Android, Старое железо, Звук;219.15;497;;19;40379;69;21 июля 1997 г.;Москва, Россия;Москва;Россия;kaspersky.ru;http://www.kaspersky.ru/;1 001–5 000 человек;09.08.2008;;
https://habr.com/ru/company/skyeng/;Skyeng;Крупнейшая онлайн-школа Европы. Удаленная работа;Разработка веб-сайтов, PHP, Программирование, Управление разработкой, Карьера в IT-индустрии;217.98;139;;4;16043;39;18 августа 2012 г.;Москва, Россия;Москва;Россия;skyeng.team;https://www.skyeng.team/development;1 001–5 000 человек;30.06.2015;Алексей Корнеев;https://habr.com/ru/users/spasibo_kep/
https://habr.com/ru/company/funcorp/;FunCorp;Разработка развлекательных сервисов;Программирование, Разработка под iOS, Разработка мобильных приложений, Разработка под Android, Swift;211.68;152;2;;23182;61;17 декабря 2004 г.;Лимассол, Кипр;Лимассол;Кипр;fun.co;http://fun.co/rp;51–100 человек;28.08.2013;Account_is_busy;https://habr.com/ru/users/Account_is_busy/
https://habr.com/ru/company/sberdevices/;SberDevices;Создаем умные устройства;Системное программирование, Блог компании Сбер, Научно-популярное, Биотехнологии, Искусственный интеллект;208.51;6;;;58;6;2019 год;Москва, Россия;Москва;Россия;sberdevices.ru;https://sberdevices.ru/;501–1 000 человек;17.09.2020;Кристина Лавренюк;https://habr.com/ru/users/Christina29/
https://habr.com/ru/company/acronis/;Acronis;Компания;Информационная безопасность, Антивирусная защита, Резервное копирование, Управление продуктом, Карьера в IT-индустрии;205.08;163;;;23891;97;4 ноября 2003 г.;Сингапур;Сингапур;Сингапур;acronis.com;https://www.acronis.com;1 001–5 000 человек;09.08.2008;;
https://habr.com/ru/company/singularis/;Singularis;Компания;.NET, Алгоритмы;202.61;19;;;96;7;14 января 2009 г.;Волгоград, Россия;Волгоград;Россия;singularis-lab.com;http://www.singularis-lab.com/;11–30 человек;15.12.2015;;
https://habr.com/ru/company/piter/;Издательский дом «Питер»;Компания;Python, Программирование, Java, Профессиональная литература, Машинное обучение;201.78;717;;;3484;6;5 сентября 1991 г.;Санкт-Петербург, Россия;Санкт-Петербург;Россия;piter.com;http://piter.com/;201–500 человек;15.08.2012;;
https://habr.com/ru/company/klinika_shilovoy/;Клиника офтальмологии доктора Шиловой;Лазерная коррекция ReLEx SMILE и не только…;Биотехнологии, Физика, Лазеры, Здоровье;199.09;39;;;844;3;;Москва, Россия;Москва;Россия;doctor-shilova.ru;http://doctor-shilova.ru/;11–30 человек;28.11.2016;;
https://habr.com/ru/company/nanosoft/;Нанософт;Компания;Анализ и проектирование систем, Графические оболочки, Работа с 3D-графикой, CAD/CAM, IT-компании;198.69;108;;;398;27;2008 год;Москва, Россия;Москва;Россия;nanocad.ru;http://www.nanocad.ru/;Неизвестно;07.12.2009;;
https://habr.com/ru/company/microsoft/;Microsoft;Microsoft — мировой лидер в области ПО и ИТ-услуг;Программирование, .NET, C#, Microsoft Azure, IT-компании;196.61;2115;;;55907;29;4 апреля 1975 г.;США;;;microsoft.com;http://www.microsoft.com/;Неизвестно;09.08.2008;;
https://habr.com/ru/company/itsumma/;ITSumma;Собираем безумных людей и вместе спасаем интернет;Информационная безопасность, Open source, Серверное администрирование, Законодательство в IT, IT-компании;190.99;111;99;;25922;38;12 августа 2008 г.;Иркутск, Россия;Иркутск;Россия;itsumma.ru;http://itsumma.ru/;51–100 человек;24.11.2009;;
https://habr.com/ru/company/audiomania/;Аудиомания;Одна из крупнейших Hi-Fi, High End компаний в СНГ;Гаджеты, История IT, Старое железо, Периферия, Звук;186.46;600;;;760;9;14 июля 1997 г.;Москва, Россия;Москва;Россия;audiomania.ru;http://www.audiomania.ru;101–200 человек;29.01.2014;;
https://habr.com/ru/company/raiffeisenbank/;Райффайзенбанк;Развеиваем мифы об IT в банках;Веб-дизайн, Интерфейсы, Usability, Дизайн мобильных приложений, Конференции;177.48;167;4;;909;52;1996 год;Москва, Россия;Москва;Россия;raiffeisen.ru;http://www.raiffeisen.ru/;5 001–10 000 человек;28.04.2017;;
https://habr.com/ru/company/madrobots/;Madrobots;Приближаем сингулярность за ваши деньги;Гаджеты, Научно-популярное, Мозг, Здоровье, Будущее здесь;177.24;528;3;;25025;8;24 июля 2012 г.;;;;madrobots.ru;https://madrobots.ru;51–100 человек;09.01.2014;;
https://habr.com/ru/company/JetBrains/;JetBrains;Делаем эффективные инструменты для разработчиков;Разработка веб-сайтов, Программирование, Java, Big Data, Управление проектами;172.5;351;2;2;47805;74;1 февраля 2000 г.;Санкт-Петербург, Россия;Санкт-Петербург;Россия;jetbrains.com;http://jetbrains.com/ru-ru;1 001–5 000 человек;02.12.2008;;
https://habr.com/ru/company/intel/;Intel;Компания;Высокая производительность, Программирование, Компьютерное железо, Настольные компьютеры, Процессоры;169.88;1233;;;38740;147;18 июля 1968 г.;Santa Clara, США;Santa Clara;США;intel.ru;http://www.intel.ru/;5 001–10 000 человек;09.08.2008;Виктор Гурылев;https://habr.com/ru/users/saul/
https://habr.com/ru/company/productstar/;ProductStar;Компания;Big Data, Управление проектами, Аналитика мобильных приложений, Управление продуктом, Интервью;166.42;38;;;33;3;1 января 2018 г.;Москва, Россия;Москва;Россия;productstar.ru;https://productstar.ru/;11–30 человек;27.04.2020;;
https://habr.com/ru/company/odnoklassniki/;Одноклассники;Делимся экспертизой;Информационная безопасность, Тестирование IT-систем, Тестирование веб-сервисов, Тестирование мобильных приложений, Машинное обучение;165.8;101;;;1273;54;26 марта 2006 г.;Москва, Россия;Москва;Россия;ok.ru;https://ok.ru/;201–500 человек;09.08.2008;Андрей Губа;https://habr.com/ru/users/privatelv/
https://habr.com/ru/company/itelma/;НПП ИТЭЛМА;Компоненты для роботизированного транспорта;Разработка робототехники, Исследования и прогнозы в IT, Научно-популярное, Автомобильные гаджеты, Транспорт;165.44;112;;;141;3;1994 год;Москва, Россия;Москва;Россия;itelma.ru;http://www.itelma.ru;1 001–5 000 человек;18.10.2019;;
